""	"Basal"	"Her2"	"LumA"	"LumB"	"Normal"	"Call"	"Confidence"	"ROR-S (Subtype Only)"	"ROR-S Group (Subtype Only)"	"Proliferation Score"	"ROR-P (Subtype + Proliferation)"	"ROR-P Group (Subtype + Proliferation)"	"ER"	"Her2"
"S52"	"-0.61421368547419"	"-0.285954381752701"	"0.850756302521008"	"-0.169939975990396"	"0.38343337334934"	"LumA"	"1"	"-4.16848737953534"	"low"	"-0.736527207557685"	"-0.927576283600635"	"low"	"1.38958505772921"	"0.271760990559885"
"S53"	"-0.409939975990396"	"-0.478703481392557"	"0.795438175270108"	"-0.165906362545018"	"0.445282112845138"	"LumA"	"1"	"-3.62314996359014"	"low"	"-0.741206220395691"	"-2.06346775730666"	"low"	"2.09356651629867"	"1.29945146827487"
"S54"	"-0.420504201680672"	"-0.233517406962785"	"0.665978391356543"	"-0.0495078031212485"	"0.303049219687875"	"LumA"	"1"	"7.23359819916672"	"low"	"-0.715703198544285"	"3.07525648970027"	"low"	"0.519491483992766"	"-0.102965749523441"
"S55"	"-0.529040313245244"	"-0.211385627566993"	"0.628730581947897"	"-0.0164229633411885"	"0.0777929842477349"	"LumA"	"1"	"9.11789137062435"	"low"	"-0.502961983796555"	"12.3488232770026"	"med"	"1.21710811355885"	"1.36622731330109"
"S56"	"-0.448165279062596"	"-0.103916127042862"	"0.23959296947271"	"0.420413197656491"	"-0.296823928461301"	"LumB"	"1"	"34.5304480357694"	"med"	"0.142260938928612"	"45.803439507067"	"med"	"2.34185788084824"	"-1.20085785426736"
"S57"	"-0.347147702744372"	"-0.349861239592969"	"0.434967622571693"	"-0.0146160962072155"	"0.157693493678693"	"LumA"	"1"	"16.0502022110972"	"low"	"-0.338242827766543"	"19.9405288492763"	"med"	"1.51688601614859"	"-0.488423579577077"
"S58"	"0.0402713536848597"	"-0.62195497995683"	"0.314585260561209"	"-0.326672833795868"	"0.381436941103916"	"Normal"	"0.99"	"13.7505816754276"	"low"	"-0.255888598947892"	"20.4976643169785"	"med"	"1.59262489005556"	"-0.295478910483226"
"S59"	"-0.662159749188656"	"0.0476542769103255"	"0.647108344811198"	"0.251026811990152"	"0.0226026174210645"	"LumA"	"1"	"15.9682025140704"	"low"	"-0.415714703978694"	"19.2947918379967"	"med"	"2.28068786629234"	"0.706312195799236"
"S60"	"-0.0253061224489796"	"-0.286020408163265"	"0.510204081632653"	"-0.568673469387755"	"0.69"	"Normal"	"1"	"6.19719252857143"	"low"	"-0.598212087869393"	"6.01310152650402"	"low"	"-1.93753948601256"	"2.11750375243438"
"S61"	"0.396326530612245"	"-0.439897959183673"	"0.0474489795918367"	"-0.76734693877551"	"0.681326530612245"	"Normal"	"1"	"21.8894352783914"	"low"	"-0.379872771775586"	"17.4357634079623"	"med"	"-1.45389056828166"	"0.142795547944557"
